
step 0: train loss 10.8833, val loss 10.9081
iter 0: loss 10.8897, time 43753.17ms, mfu -100.00%
iter 10: loss 10.6941, time 149.64ms, mfu 8.27%
iter 20: loss 9.8753, time 149.46ms, mfu 8.28%
iter 30: loss 9.0537, time 149.35ms, mfu 8.28%
iter 40: loss 7.8402, time 149.31ms, mfu 8.28%
iter 50: loss 7.2810, time 150.30ms, mfu 8.27%
iter 60: loss 6.3678, time 149.41ms, mfu 8.28%
iter 70: loss 5.9580, time 148.98ms, mfu 8.28%
iter 80: loss 6.8372, time 148.88ms, mfu 8.28%
iter 90: loss 6.4475, time 149.93ms, mfu 8.28%
iter 100: loss 5.7723, time 149.29ms, mfu 8.28%
iter 110: loss 6.1911, time 149.40ms, mfu 8.28%
iter 120: loss 4.8790, time 149.35ms, mfu 8.28%
iter 130: loss 4.6257, time 149.12ms, mfu 8.29%
iter 140: loss 5.4074, time 149.29ms, mfu 8.29%
iter 150: loss 5.9667, time 150.40ms, mfu 8.28%
iter 160: loss 5.7530, time 149.28ms, mfu 8.28%
iter 170: loss 4.5081, time 149.43ms, mfu 8.28%
iter 180: loss 5.1888, time 149.84ms, mfu 8.28%
iter 190: loss 5.1241, time 149.65ms, mfu 8.28%
iter 200: loss 4.6939, time 148.78ms, mfu 8.28%
iter 210: loss 4.3368, time 148.97ms, mfu 8.29%
iter 220: loss 4.6742, time 149.13ms, mfu 8.29%
iter 230: loss 5.0365, time 149.48ms, mfu 8.29%
iter 240: loss 5.3848, time 149.81ms, mfu 8.29%
step 250: train loss 4.7649, val loss 6.7028
saving checkpoint to out-circuits
iter 250: loss 4.9445, time 25668.67ms, mfu 7.46%
iter 260: loss 4.2557, time 149.65ms, mfu 7.54%
iter 270: loss 4.7313, time 149.20ms, mfu 7.62%
iter 280: loss 5.0933, time 149.16ms, mfu 7.69%
iter 290: loss 4.7355, time 149.45ms, mfu 7.75%
iter 300: loss 5.6145, time 149.33ms, mfu 7.80%
iter 310: loss 5.0835, time 149.30ms, mfu 7.85%
